,# Playlist created by Chang Hung-kuang
CCTV-17农村农业,http://120.196.232.124:8088/rrs03.hw.gmcc.net/PLTV/651/224/3221226660/1.m3u8?
CCTV4K,http://159.75.85.63:5679/cctv4k.php
CCTV4K,http://liveop.cctv.cn/hls/4KHD/playlist.m3u8
CCTV奥林匹克频道,http://39.135.41.243/PLTV/88888888/224/3221226716/index.m3u8?hls
CGTN,https://live.cgtn.com/1000/prog_index.m3u8
CGTNDocumentary,https://livedoc.cgtn.com/1000d/prog_index.m3u8
世界地理,http://39.136.18.105/cdnrrs.gz.chinamobile.com/PLTV/88888888/224/3221226071/1/index.m3u8?fmt=ts2hls
风云音乐,http://39.136.18.105/cdnrrs.gz.chinamobile.com/PLTV/88888888/224/3221225698/1/index.m3u8?fmt=ts2hls
CCTV-1综合,http://61.138.167.36:9901/tsfile/live/0001_1.m3u8
CCTV-2财经,http://live.cooltv.top/tv/aishang.php?id=cctv2hd
CCTV-3综艺,http://111.20.40.172/PLTV/88888893/224/3221226397/index.m3u8
CCTV-4中文国际,http://125.210.152.19:9120/live/hzgq-cctv4gq-h264.m3u8
CCTV-5体育,http://222.71.90.218:8888/newlive/live/hls/6/live.m3u8
CCTV-5+体育赛事,http://183.65.9.200:8888/udp/235.254.199.121:7980#http://125.82.171.210:8888/udp/235.254.199.121:7980#http://14.105.22.165:1388/udp/235.254.199.121:7980
CCTV-6电影,http://183.65.9.200:8888/udp/235.254.199.55:7980#http://125.82.171.210:8888/udp/235.254.199.55:7980#http://14.105.22.165:1388/udp/235.254.199.55:7980
CCTV-7国防军事,http://183.65.9.200:8888/udp/235.254.199.56:7980#http://125.82.171.210:8888/udp/235.254.199.56:7980#http://14.105.22.165:1388/udp/235.254.199.56:7980
CCTV-8电视剧,http://111.20.40.172/PLTV/88888893/224/3221226391/index.m3u8
CCTV-9纪录,http://125.210.152.19:9120/live/hzgq-cctvjlgq-h264.m3u8
CCTV-10科教,http://125.210.152.19:9120/live/hzgq-cctv10gq-h264.m3u8
CCTV-11戏曲,http://183.65.9.200:8888/udp/235.254.196.161:7980#http://125.82.171.210:8888/udp/235.254.196.161:7980#http://14.105.22.165:1388/udp/235.254.196.161:7980
CCTV-12社会与法,http://183.65.9.200:8888/udp/235.254.199.60:7980#http://125.82.171.210:8888/udp/235.254.199.60:7980#http://14.105.22.165:1388/udp/235.254.199.60:7980
CCTV-13新闻,http://125.210.152.19:9120/live/hzgq-cctvnewsgq-h264.m3u8
CCTV-14少儿,http://183.65.9.200:8888/udp/235.254.199.61:7980#http://125.82.171.210:8888/udp/235.254.199.61:7980#http://14.105.22.165:1388/udp/235.254.199.61:7980
CCTV-15音乐,http://125.210.152.19:9120/live/hzgq-cctvmusicgq-h264.m3u8
CCTV-16奥林匹克,http://111.20.40.160/PLTV/88888893/224/3221226921/index.m3u8
CCTV-17农村农业,http://125.210.152.19:9120/live/hzgq-cctv17gq-h264.m3u8
CCTV1 8M,http://cntv.dfkj.live/bestv.php?id=cctv1hd8m/8000000
CCTV2 8M,http://120.196.232.124:8088/rrs03.hw.gmcc.net/PLTV/651/224/3221226739/1.m3u8?
CCTV3 8M,http://120.196.232.124:8088/rrs03.hw.gmcc.net/PLTV/651/224/3221226720/1.m3u8
CCTV4 8M,http://120.196.232.124:8088/rrs03.hw.gmcc.net/PLTV/651/224/3221226725/1.m3u8
CCTV4K-25P-HLG源,http://159.75.85.63:5679/cctv4k.php
CCTV5 8M,http://120.196.232.124:8088/rrs03.hw.gmcc.net/PLTV/651/224/3221226731/1.m3u8
CCTV5+ 8M,http://qhjx.top:18000/udp/238.255.2.185:5999
CCTV6 8M,http://120.196.232.124:8088/rrs03.hw.gmcc.net/PLTV/651/224/3221226699/1.m3u8
CCTV7 8M,http://120.196.232.124:8088/rrs03.hw.gmcc.net/PLTV/651/224/3221226721/1.m3u8
CCTV8 8M,http://120.196.232.124:8088/rrs03.hw.gmcc.net/PLTV/651/224/3221226715/1.m3u8
CCTV9 8M,http://120.196.232.124:8088/rrs03.hw.gmcc.net/PLTV/651/224/3221226651/1.m3u8
CCTV10 8M,http://120.196.232.124:8088/rrs03.hw.gmcc.net/PLTV/651/224/3221226708/1.m3u8
CCTV-11 8M,http://120.196.232.124:8088/rrs03.hw.gmcc.net/PLTV/651/224/3221226714/1.m3u8?
CCTV12 8M,http://120.196.232.124:8088/rrs03.hw.gmcc.net/PLTV/651/224/3221226723/1.m3u8?
CCTV13 8M,http://120.196.232.124:8088/rrs03.hw.gmcc.net/PLTV/651/224/3221226717/1.m3u8
CCTV-14 8M,http://120.196.232.124:8088/rrs03.hw.gmcc.net/PLTV/651/224/3221226663/1.m3u8
CCTV15 8M,http://cntv.dfkj.live/bestv.php?id=cctv15hd8m/8000000
CCTV16-4K,http://120.196.232.124:8088/rrs03.hw.gmcc.net/PLTV/651/224/3221226825/1.m3u8?$8M1080
CCTV17 8M,http://120.196.232.124:8088/rrs03.hw.gmcc.net/PLTV/651/224/3221226660/1.m3u8?
CCTV央视文化精品,http://58.205.220.58:8088/tlivectfree-cdn.ysp.cctv.cn/ysp/2012513802.m3u8
CCTV卫生健康,http://58.205.220.58:8088/tlivectfree-cdn.ysp.cctv.cn/ysp/2012513502.m3u8
CCTV世界地理,http://hls.cq.live.cbnbn.cn/__cl/cg:live/__c/sjdlHD/__op/default/__f/index.m3u8
CCTV风云音乐,http://hls.cq.live.cbnbn.cn/__cl/cg:live/__c/fyyyHD/__op/default/__f/index.m3u8
CCTV兵器科技,http://hls.cq.live.cbnbn.cn/__cl/cg:live/__c/bqkjHD/__op/default/__f/index.m3u8
CCTV怀旧剧场,http://hls.cq.live.cbnbn.cn/__cl/cg:live/__c/hjjcHD/__op/default/__f/index.m3u8
CCTV风云剧场,http://hls.cq.live.cbnbn.cn/__cl/cg:live/__c/shandongHD/__op/default/__f/index.m3u8
CCTV第一剧场,http://hls.cq.live.cbnbn.cn/__cl/cg:live/__c/diyijuchangHD/__op/default/__f/index.m3u8
CCTV8K,http://[2409:8087:2001:20:2800:0:df6e:eb02]/ott.mobaibox.com/PLTV/3/224/3221228165/index.m3u8
★★★★★上海 🇨🇳️★★★★★,https://upload.wikimedia.org/wikipedia/commons/0/08/National_Flag_Anthem_of_the_Republic_of_China%E4%B8%AD%E8%8F%AF%E6%B0%91%E5%9C%8B%E5%9C%8B%E6%97%97%E6%AD%8C_%28%E6%BC%94%E5%A5%8F%E7%89%88%29.oga
上海新闻综合,https://cntv.sbs/tv?auth=230813&id=shxwzh
东方卫视,http://222.71.221.186:9901/tsfile/live/0016_1.m3u8
上海都市频道,http://221.228.219.15/fjnetv51.live.bestvcdn.com.cn/0/live/program/live/dshd8m/8000000/d3.m3u8
东方影视,http://221.228.219.15/fjnetv51.live.bestvcdn.com.cn/0/live/program/live/dfyshd8m/8000000/d3.m3u8
上海纪实,http://221.228.219.15/fjnetv51.live.bestvcdn.com.cn/0/live/program/live/jspdhd8m/8000000/d3.m3u8
上海新闻综合,http://221.228.219.15/fjnetv51.live.bestvcdn.com.cn/0/live/program/live/xwzhhd8m/8000000/d3.m3u8
东方卫视,http://39.136.18.105/cdnrrs.gz.chinamobile.com/PLTV/88888888/224/3221225752/1/index.m3u8?fmt=ts2hls
上海教育高清,http://221.228.219.15/fjnetv51.live.bestvcdn.com.cn/0/live/program/live/setvhd/8000000/d3.m3u8
上视外语频道,http://jiexi.bulisite.top/bestv.php?id=icshd8m/8000000
生活时尚,https://cntv.sbs/tv?auth=230813&id=shss
上海第一财经[百视通],http://jiexi.bulisite.top/bestv.php?id=dycjhd8m/8000000
东方财经,https://live.goodiptv.club/api/cqyx.php?id=dfcj
新视觉,http://221.228.219.15/fjnetv51.live.bestvcdn.com.cn/0/live/program/live/xsjhd/4000000/d3.m3u8
上视外语频道,http://cntv.dfkj.live/bestv.php?id=jspdhd/4000000
东方影视,http://221.228.219.15/fjnetv51.live.bestvcdn.com.cn/0/live/program/live/dsjpdhd/4000000/d3.m3u8
五星体育[百视通],http://jiexi.bulisite.top/bestv.php?id=wxtyhd8m/8000000
上海第一财经,http://221.228.219.15/fjnetv51.live.bestvcdn.com.cn/0/live/program/live/dycjhd8m/8000000/d3.m3u8
上海纪实,http://www.icancloud.top:8888/udp/239.3.1.212:8060$北京联通1
乐游,http://221.228.219.15/fjnetv51.live.bestvcdn.com.cn/0/live/program/live/qjshd8m/8000000/d3.m3u8
乐游,http://39.136.18.105/cdnrrs.gz.chinamobile.com/PLTV/88888888/224/3221226221/1/index.m3u8?fmt=ts2hls
哈哈炫动,https://cntv.sbs/tv?auth=230813&id=hhxd
都市剧场,http://221.228.219.15/fjnetv51.live.bestvcdn.com.cn/0/live/program/live/dsjchd/4000000/d3.m3u8
劲爆体育,http://jiexi.bulisite.top/bestv.php?id=jbtyhd8m/8000000
MAX极速汽车,http://221.228.219.15/fjnetv51.live.bestvcdn.com.cn/0/live/program/live/jsqchd/4000000/d3.m3u8
七彩戏剧,http://jiexi.bulisite.top/bestv.php?id=qcxjhd8m/8000000
七彩戏剧,http://jasoncao.asuscomm.com:8888/udp/239.45.0.16:5140$上海电信组播
★★★★★地方臺 🇨🇳️★★★★★,https://upload.wikimedia.org/wikipedia/commons/0/08/National_Flag_Anthem_of_the_Republic_of_China%E4%B8%AD%E8%8F%AF%E6%B0%91%E5%9C%8B%E5%9C%8B%E6%97%97%E6%AD%8C_%28%E6%BC%94%E5%A5%8F%E7%89%88%29.oga
摄影频道,https://live.goodiptv.club/api/cqyx.php?id=sheying
CEC国际汉语文化,http://play.cec-tv.com.cn/channel/cec-tv1.m3u8
CEC国际旅游,http://play.cec-tv.com.cn/channel/cec-tv2.m3u8
CEC国际教育,http://play.cec-tv.com.cn/channel/cec-tv3.m3u8
CEC国际健康,http://play.cec-tv.com.cn/channel/cec-tv4.m3u8
武汉新闻综合频道,http://live.appwuhan.com/1tzb/sd/live.m3u8
武汉外语频道,http://stream.appwuhan.com/6tzb/sd/live.m3u8
广州综合,http://player.521fanli.cn/1691/gd/gztvm3u8.php?id=gzzh
广州新闻,https://justsometime.gztv.com/sec/xinwen.m3u8
广州竞赛,http://player.521fanli.cn/1691/gd/gztvm3u8.php?id=gzjs
安徽卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225737/index.m3u8
四川文旅,http://112.19.214.90:8883/tsfile/live/1003_1.m3u8
健康养生[百视通],https://cntv.sbs/tv?auth=230813&id=jkys
北京纪实科教,https://cntv.sbs/tv?auth=230813&id=bjjskj
广东国际,http://hongyanqiang.top/chudian.php?id=gdgj
求索动物,http://60.208.16.27:1505/gudou.php?id=364&id=QSDWHD_7000
金鹰纪实,https://cntv.sbs/tv?auth=230813&id=jyjs
中国气象频道,http://hls.weathertv.cn/tslslive/qCFIfHB/hls/live_sd.m3u8
CNC 英文,http://source07.v.news.cn/live/CNC_EN/playlist.m3u8
CNC中文,http://source07.v.news.cn/live/CNC_CN/playlist.m3u8
求索纪录高清,http://183.65.9.200:8888/udp/235.254.199.251:7980
海峡卫视,http://39.135.55.13:6610/PLTV/88888888/224/3221227198/index.m3u8?servicetype=1&IASHttpSessionId=OTT
求索科学,http://60.208.16.27:1505/gudou.php?id=364&id=qiusuokexueHD_7000
西安新闻,http://stream2.xiancity.cn/xatv1/sd/live.m3u8
四川新闻,http://op.nicker.top:3222/udp/239.11.0.5:5140
BTV生活,http://lu1.cc/c/tv/bjtv/btime1.php?id=bjsh
BTV科教,https://live.goodiptv.club/api/cqyx.php?id=bjayjsSD
北京文艺BTV-2,http://lu1.cc/c/tv/bjtv/btime1.php?id=bjwy
求索生活,http://39.134.136.141:6610/000000001000/2000000004000000008/index.m3u8?channel-id=hnbblive&Contentid=2000000004000000008&livemode=1&stbId=3
北京新闻,http://lu1.cc/c/tv/bjtv/btime1.php?id=bjxw
茶友频道,http://[2409:8087:3869:8021:1001::e5]:6610/PLTV/88888910/224/3221225781/index.m3u8?fmt=ts2hls
南京综合,http://live.nbs.cn/channels/njtv/xwzh/m3u8:500k/live.m3u8
南京生活,http://live.nbs.cn/channels/njtv/shpd/m3u8:500k/live.m3u8
苏州4K,http://liveshowbak2.kan0512.com/ksz-norecord/csztv4k_4k.m3u8
大湾区卫视,http://111.13.42.242/PLTV/88888888/224/3221226540/1.m3u8
清华大学,https://live.cic.tsinghua.edu.cn/hls/tsinghuatv.m3u8
湖南卫视,http://39.136.18.105/cdnrrs.gz.chinamobile.com/PLTV/88888888/224/3221225707/1/index.m3u8?fmt=ts2hls
浙江卫视,http://221.2.36.34:8888/newlive/live/hls/24/live.m3u8
江苏卫视,http://120.196.232.124:8088/rrs03.hw.gmcc.net/PLTV/651/224/3221226692/1.m3u8
北京卫视,https://cntv.sbs/tv?auth=230813&id=bjws
东方卫视,http://120.196.232.124:8088/rrs03.hw.gmcc.net/PLTV/651/224/3221226734/1.m3u8
安徽卫视,http://120.196.232.124:8088/rrs03.hw.gmcc.net/PLTV/651/224/3221226655/1.m3u8
广东卫视,https://cntv.sbs/tv?auth=230813&id=gdws
深圳卫视,http://120.196.232.124:8088/rrs03.hw.gmcc.net/PLTV/651/224/3221226688/1.m3u8
辽宁卫视,http://120.196.232.124:8088/rrs03.hw.gmcc.net/PLTV/651/224/3221226689/1.m3u8
海南卫视,http://120.196.232.124:8088/rrs03.hw.gmcc.net/PLTV/651/224/3221226679/1.m3u8
山东卫视,http://120.196.232.124:8088/rrs03.hw.gmcc.net/PLTV/651/224/3221226693/1.m3u8
天津卫视,http://120.196.232.124:8088/rrs03.hw.gmcc.net/PLTV/651/224/3221226686/1.m3u8
重庆卫视,http://120.196.232.124:8088/rrs03.hw.gmcc.net/PLTV/651/224/3221226680/1.m3u8
东南卫视,http://120.196.232.124:8088/rrs03.hw.gmcc.net/PLTV/651/224/3221226670/1.m3u8
甘肃卫视,http://qhjx.top:18000/udp/238.255.2.73:5999
广西卫视,https://cntv.sbs/tv?auth=230813&id=gxws
贵州卫视,https://cntv.sbs/tv?auth=230813&id=gzws
河北卫视,https://cntv.sbs/tv?auth=230813&id=hbws
黑龙江卫视,https://cntv.sbs/tv?auth=230813&id=hljws
河南卫视,http://media.hndyjyfw.gov.cn/live/jz-hnweishi/live.m3u8
湖北卫视,http://120.196.232.124:8088/rrs03.hw.gmcc.net/PLTV/651/224/3221226713/1.m3u8
江西卫视,http://120.196.232.124:8088/rrs03.hw.gmcc.net/PLTV/651/224/3221226682/1.m3u8
吉林卫视,https://cntv.sbs/tv?auth=230813&id=jlws
内蒙古卫视,https://cntv.sbs/tv?auth=230813&id=nmws
宁夏卫视,https://cntv.sbs/tv?auth=230813&id=nxws
山西卫视,https://cntv.sbs/tv?auth=230813&id=sxiws
陕西卫视,https://cntv.sbs/tv?auth=230813&id=sxws
四川卫视,https://cntv.sbs/tv?auth=230813&id=scws
新疆卫视,https://cntv.sbs/tv?auth=230813&id=xjws
云南卫视,https://cntv.sbs/tv?auth=230813&id=ynws
青海卫视,http://stream.qhbtv.com/qhws/sd/live.m3u8?_upt=1da074361609506578
大湾区卫视,http://qhjx.top:18000/udp/238.255.2.60:5999
兵团卫视,http://qhjx.top:18000/udp/238.255.2.67:5999
黄河卫视,http://liveflash.sxrtv.com/live/huanghe.m3u8
延边卫视,http://live.ybtvyun.com/video/s10016-7e5f23de35df/index.m3u8
康巴卫视,https://cntv.sbs/tv?auth=230813&id=kbws
西藏卫视,https://cntv.sbs/tv?auth=230813&id=xzws
藏语卫视,http://qhjx.top:18000/udp/238.255.2.23:5999
厦门卫视,https://cntv.sbs/tv?auth=230813&id=xmws
厦门1,http://[2409:8087:3408:20:5040::106]:18890/PLTV/88888888/224/3221227185/index.m3u8
南平1 8M1080,http://[2409:8087:3408:20:5040::106]:18890/PLTV/88888888/224/3221227066/index.m3u8
南平2 8M1080,http://[2409:8087:3408:20:5040::106]:18890/PLTV/88888888/224/3221226956/index.m3u8
福建综合,https://cntv.sbs/tv?auth=230813&id=fjzh
福建新闻,https://cntv.sbs/tv?auth=230813&id=fjxw
福建电视剧,https://cntv.sbs/tv?auth=230813&id=fjdsj
福建文体,https://cntv.sbs/tv?auth=230813&id=fjwt
福建少儿,https://cntv.sbs/tv?auth=230813&id=fjse
福建旅游,https://cntv.sbs/tv?auth=230813&id=fjly
福建经济,https://cntv.sbs/tv?auth=230813&id=fjjj
福建公共,https://cntv.sbs/tv?auth=230813&id=fjgg
福建教育,https://cntv.sbs/tv?auth=230813&id=fjjy
NewTV潮妈辣婆,http://api3.52tb.xyz/info?id=314&token=20230227aesvnb
NewTV军事评论,http://api3.52tb.xyz/info?id=318&token=20230227aesvnb
NewTV武博世界,http://api3.52tb.xyz/info?id=313&token=20230227aesvnb
NewTV魅力潇湘,http://api3.52tb.xyz/info?id=320&token=20230227aesvnb
NewTV军旅剧场,http://api3.52tb.xyz/info?id=309&token=20221127jxwhhemby
NewTV精品纪录,http://api3.52tb.xyz/info?id=311&token=20221127jxwhhemby
NewTV农业致富,http://api3.52tb.xyz/info?id=312&token=20221127jxwhhemby
NewTV武博世界,http://api3.52tb.xyz/info?id=313&token=20221127jxwhhemby
NewTV炫舞未来,http://api3.52tb.xyz/info?id=315&token=20221127jxwhhemby
NewTV潮妈辣婆,http://api3.52tb.xyz/info?id=314&token=20221127jxwhhemby
NewTV健康有约,http://api3.52tb.xyz/info?id=316&token=20221127jxwhhemby
NewTV中国功夫,http://api3.52tb.xyz/info?id=317&token=20221127jxwhhemby
NewTV军事评论,http://api3.52tb.xyz/info?id=318&token=20221127jxwhhemby
NewTV魅力潇湘,http://api3.52tb.xyz/info?id=320&token=20221127jxwhhemby
NewTV明星大片,http://api2.52tb.xyz/info?id=302&token=20230218qkyjia
NewTV金牌综艺,http://api2.52tb.xyz/info?id=303&token=20230218qkyjia
NewTV惊悚悬疑,http://api2.52tb.xyz/info?id=304&token=20230218qkyjia
NewTV惊悚悬疑,http://api2.52tb.xyz/info?id=304&token=20230218jsyklh
NewTV金牌综艺,http://api2.52tb.xyz/info?id=303&token=20230218jsyklh
NewTV古装剧场,http://api2.52tb.xyz/info?id=306&token=20230218jsyklh
NewTV爱情喜剧,http://api2.52tb.xyz/info?id=305&token=20230218jsyklh
NewTV精品大剧,http://api2.52tb.xyz/info?id=308&token=20230218jsyklh
NewTV家庭剧场,http://api2.52tb.xyz/info?id=307&token=20230218jsyklh
NewTV军旅剧场,http://api2.52tb.xyz/info?id=309&token=20230218jsyklh
NewTV精品体育,http://api2.52tb.xyz/info?id=310&token=20230218jsyklh
NewTV精品纪录,http://api2.52tb.xyz/info?id=311&token=20230218jsyklh
NewTV农业致富,http://api2.52tb.xyz/info?id=312&token=20230218jsyklh
NewTV武博世界,http://api2.52tb.xyz/info?id=313&token=20230218jsyklh
精彩影视,http://39.134.136.160:6610/000000001000/6000000006000320630/index.m3u8?channel-id=wasusyt&Contentid=6000000006000320630&livemode=1&stbId=3
求索记录,http://60.208.16.27:1505/gudou.php?id=364&id=QSJLHD_7000
求索科学,http://39.134.136.160:6610/000000001000/6000000002000032344/index.m3u8?channel-id=wasusyt&Contentid=6000000002000032344&livemode=1&stbId=3
求索生活,http://39.134.136.160:6610/000000001000/6000000002000003382/index.m3u8?channel-id=wasusyt&Contentid=6000000002000003382&livemode=1&stbId=3
探索纪实,http://39.134.136.160:6610/000000001000/5359008697329269813/index.m3u8?channel-id=wasusyt&Contentid=5359008697329269813&livemode=1&stbId=3
少儿动漫,http://39.134.136.160:6610/000000001000/8145334647720731271/index.m3u8?channel-id=wasusyt&Contentid=8145334647720731271&livemode=1&stbId=3
风尚音乐,http://39.134.136.160:6610/000000001000/5529729098703832176/index.m3u8?channel-id=wasusyt&Contentid=5529729098703832176&livemode=1&stbId=3
精品剧场,http://39.134.136.160:6610/000000001000/8230197131234717902/index.m3u8?channel-id=wasusyt&Contentid=8230197131234717902&livemode=1&stbId=3
欧美影院,http://39.134.136.160:6610/000000001000/7185203501769528108/index.m3u8?channel-id=wasusyt&Contentid=7185203501769528108&livemode=1&stbId=3
亚洲影院,http://39.134.136.160:6610/000000001000/5841816227539527643/index.m3u8?channel-id=wasusyt&Contentid=5841816227539527643&livemode=1&stbId=3
iHOT爱院线,http://39.134.136.160:6610/000000001000/6000000006000030630/index.m3u8?channel-id=wasusyt&Contentid=6000000006000030630&livemode=1&stbId=3
iHOT爱科幻,http://39.134.136.160:6610/000000001000/6000000006000020630/index.m3u8?channel-id=wasusyt&Contentid=6000000006000020630&livemode=1&stbId=3
iHOT爱浪漫,http://39.134.136.160:6610/000000001000/6000000006000040630/index.m3u8?channel-id=wasusyt&Contentid=6000000006000040630&livemode=1&stbId=3
